Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,48.919998,48.919998,48.169998,48.237499,48.237499,10110
2020-10-20,47.889999,48.236790,47.849998,47.987499,47.987499,15591
2020-10-21,48.250000,48.250000,47.169998,47.244999,47.244999,26983
2020-10-22,47.154999,47.462429,47.033440,47.410000,47.410000,4684
2020-10-23,47.674999,47.938438,47.674999,47.764999,47.764999,9540
2020-10-26,47.389999,47.938400,47.044449,47.077499,47.077499,19438
2020-10-27,47.325001,47.480759,46.977791,46.947498,46.947498,7399
2020-10-28,46.709999,46.709999,45.599998,45.902500,45.902500,17933
2020-10-29,45.924999,46.210732,45.637932,46.117500,46.117500,16671
2020-10-30,45.474998,45.799999,45.299999,45.514999,45.514999,16021
2020-11-02,45.900002,46.520000,45.900002,46.362499,46.362499,23641
2020-11-03,46.560001,46.779999,46.409721,46.727501,46.727501,9978
2020-11-04,46.790001,48.205410,46.790001,48.197498,48.197498,14302
2020-11-05,48.244999,48.639999,48.220001,48.485001,48.485001,31923
2020-11-06,48.259998,48.310001,47.770000,48.082500,48.082500,11609
2020-11-09,48.759998,50.450722,48.710941,49.627499,49.627499,35227
2020-11-10,48.744999,48.881359,47.820000,48.362499,48.362499,44396
2020-11-11,48.330002,48.916691,48.330002,48.887501,48.887501,46506
2020-11-12,48.660000,49.060001,48.654999,48.962502,48.962502,10816
2020-11-13,48.724998,48.978630,48.645000,48.855000,48.855000,6560
2020-11-16,49.570000,49.806320,49.320000,49.634998,49.634998,13086
2020-11-17,49.720001,49.720001,49.060001,49.244999,49.244999,5819
2020-11-18,49.220001,49.369999,48.959999,49.165001,49.165001,15542
2020-11-19,48.770000,48.770000,48.549999,48.695000,48.695000,13339
2020-11-20,48.615002,48.770000,48.529999,48.625000,48.625000,6116
2020-11-23,48.660000,48.660000,48.290001,48.415001,48.415001,7645
2020-11-24,48.770000,48.980000,48.720001,49.084999,49.084999,10163
2020-11-25,49.244999,49.419998,48.919998,48.935001,48.935001,3279
2020-11-26,49.169998,49.279999,49.156670,49.222500,49.222500,3793
2020-11-27,49.105000,49.380001,49.092930,49.375000,49.375000,1315
2020-11-30,49.020000,49.270000,48.880001,48.840000,48.840000,10748
2020-12-01,49.279999,49.650002,49.279999,49.392502,49.392502,20526
2020-12-02,49.404999,49.660000,49.360001,49.627499,49.627499,2224
2020-12-03,49.544998,49.544998,49.279999,49.292500,49.292500,5126
2020-12-04,49.424999,49.540001,49.189999,49.529999,49.529999,11422
2020-12-07,49.959999,50.220001,49.959999,50.049999,50.049999,922
2020-12-08,49.799999,50.083889,49.790001,50.134998,50.134998,35040
2020-12-09,50.150002,50.150002,49.849998,49.967499,49.967499,4272
2020-12-10,49.910000,50.070000,49.799999,50.044998,50.044998,2195
2020-12-11,49.919998,50.110001,49.860001,49.974998,49.974998,14768
2020-12-14,49.709999,49.950001,49.700001,49.932499,49.932499,4372
2020-12-15,49.619999,49.814861,49.340000,49.357498,49.357498,1880
2020-12-16,49.560001,49.639999,49.459999,49.627499,49.627499,9962
2020-12-17,49.595001,49.599998,49.410000,49.432499,49.432499,12158
2020-12-18,49.759998,49.880001,49.703609,49.590000,49.590000,6498
2020-12-21,50.369999,50.369999,49.470001,49.660000,49.660000,23090
2020-12-22,49.380001,50.139999,49.380001,50.064999,50.064999,19190
2020-12-23,49.799999,49.840000,49.470001,49.607498,49.607498,6329
2020-12-24,49.330002,49.379501,49.220001,49.250000,49.250000,2678
2020-12-29,50.270000,50.400002,50.099998,50.099998,50.099998,16520
2020-12-30,50.029999,50.060001,49.700001,49.772499,49.772499,13636
2020-12-31,49.360001,49.560001,49.340000,49.470001,49.470001,2328
2021-01-04,49.840000,50.099998,49.259998,49.330002,49.330002,5912
2021-01-05,49.480000,49.490002,49.189999,49.355000,49.355000,5157
2021-01-06,49.110001,50.259998,48.919998,50.270000,50.270000,1843
2021-01-07,50.200001,50.830002,50.135609,50.770000,50.770000,9818
2021-01-08,50.970001,50.970001,50.720001,50.860001,50.860001,4947
2021-01-11,51.099998,51.189999,50.959999,51.130001,51.130001,7951
2021-01-12,50.869999,50.869999,50.549999,50.540001,50.540001,3307
2021-01-13,50.419998,50.599998,50.160000,50.605000,50.605000,3590
2021-01-14,50.630001,50.730000,50.410000,50.485001,50.485001,6276
2021-01-15,50.169998,50.349998,50.143539,50.290001,50.290001,6047
2021-01-18,50.240002,50.389999,50.102890,50.320000,50.320000,2150
2021-01-19,50.570000,50.570000,50.330002,50.345001,50.345001,9726
2021-01-20,50.419998,51.029999,50.368912,50.945000,50.945000,7919
2021-01-21,50.869999,50.990002,50.830002,50.865002,50.865002,13983
2021-01-22,50.799999,50.919998,50.669998,50.875000,50.875000,3886
2021-01-25,50.939999,51.230000,50.599998,50.634998,50.634998,9359
2021-01-26,51.029999,51.110001,50.799999,50.825001,50.825001,10879
2021-01-27,50.680000,50.779999,50.200001,50.115002,50.115002,8251
2021-01-28,49.584999,50.259998,49.344181,50.275002,50.275002,9449
2021-01-29,49.474998,49.820000,49.400002,49.347500,49.347500,2394
2021-02-01,49.305000,49.730000,49.099998,49.759998,49.759998,4845
2021-02-02,50.220001,50.939999,50.009998,50.939999,50.939999,8464
2021-02-03,51.000000,51.040001,50.810001,50.805000,50.805000,18059
2021-02-04,51.029999,51.200001,50.900002,51.125000,51.125000,9980
2021-02-05,51.400002,51.540001,51.259998,51.255001,51.255001,1720
2021-02-08,51.419998,51.660000,51.419998,51.474998,51.474998,6056
2021-02-09,51.310001,51.549999,51.299999,51.345001,51.345001,6807
2021-02-10,51.419998,51.619999,50.880001,51.090000,51.090000,20859
2021-02-11,51.270000,51.410000,51.270000,51.345001,51.345001,1584
2021-02-12,51.310001,51.410000,51.259998,51.340000,51.340000,3282
2021-02-15,51.509998,51.590000,51.490002,51.555000,51.555000,6705
2021-02-16,51.560001,51.590000,51.259998,51.360001,51.360001,7617
2021-02-17,51.349998,51.430000,51.160000,51.189999,51.189999,8843
2021-02-18,51.250000,51.250000,50.599998,50.665001,50.665001,5732
2021-02-19,50.720001,50.880001,50.669998,50.820000,50.820000,27410
2021-02-22,50.259998,50.450001,50.009998,50.080002,50.080002,4034
2021-02-23,50.139999,50.144531,49.110001,49.542500,49.542500,4942
2021-02-24,49.709999,50.070000,49.560001,50.209999,50.209999,6984
2021-02-25,50.349998,50.369999,49.939999,49.937500,49.937500,3118
2021-02-26,49.820000,50.099998,49.419998,49.802502,49.802502,9206
2021-03-01,50.040001,50.709999,50.000000,50.660000,50.660000,9770
2021-03-02,50.689999,50.810001,50.430000,50.490002,50.490002,6870
2021-03-03,50.580002,50.600609,50.049999,50.150002,50.150002,14865
2021-03-04,49.549999,49.700001,49.330002,49.584999,49.584999,18131
2021-03-05,49.130001,49.619999,49.060001,49.087502,49.087502,5155
2021-03-08,49.980000,50.880001,49.959999,50.785000,50.785000,7492
2021-03-09,50.099998,50.770000,50.099998,50.810001,50.810001,18371
2021-03-10,50.330002,50.980000,50.330002,50.974998,50.974998,2154
2021-03-11,51.080002,51.320000,50.980000,51.320000,51.320000,2693
2021-03-12,51.119999,51.340000,51.009998,51.235001,51.235001,4662
2021-03-15,51.430000,51.549999,51.392841,51.470001,51.470001,14393
2021-03-16,52.110001,52.110001,51.959999,51.825001,51.825001,8645
2021-03-17,51.680000,51.713940,51.480000,51.645000,51.645000,3065
2021-03-18,51.529999,51.619999,51.400002,51.615002,51.615002,4283
2021-03-19,51.110001,51.286041,51.080002,51.290001,51.290001,2367
2021-03-22,51.150002,51.669998,51.133469,51.639999,51.639999,25569
2021-03-23,51.590000,51.950001,51.580002,51.904999,51.904999,7394
2021-03-24,51.840000,52.131950,51.840000,52.044998,52.044998,8209
2021-03-25,51.770000,51.770000,51.310001,51.439999,51.439999,3089
2021-03-26,51.700001,51.799999,51.630001,51.805000,51.805000,8038
2021-03-29,52.130001,52.380001,51.799400,52.075001,52.075001,10095
2021-03-30,52.419998,52.419998,52.250000,52.375000,52.375000,5141
2021-03-31,52.250000,52.480000,52.180000,52.445000,52.445000,10223
2021-04-01,52.580002,52.680000,52.500000,52.590000,52.590000,21757
2021-04-06,53.220001,53.561211,53.040001,53.525002,53.525002,43367
2021-04-07,53.720001,53.919998,53.480000,53.810001,53.810001,20477
2021-04-08,54.040001,54.130001,53.950001,54.080002,54.080002,42731
2021-04-09,54.439999,54.439999,54.200001,54.285000,54.285000,14871
2021-04-12,54.590000,54.830002,54.380001,54.465000,54.465000,26012
2021-04-13,54.540001,54.669998,54.419998,54.645000,54.645000,29632
2021-04-14,54.540001,54.759998,54.540001,54.570000,54.570000,6387
2021-04-15,54.560001,54.849998,54.540001,54.904999,54.904999,11093
2021-04-16,55.130001,55.330002,54.930000,54.875000,54.875000,22990
2021-04-19,54.779999,54.849998,54.070000,54.099998,54.099998,23205
2021-04-20,54.080002,54.110001,53.790001,53.779999,53.779999,8508
2021-04-21,53.900002,54.180000,53.650002,54.145000,54.145000,7648
2021-04-22,54.380001,54.810001,54.353149,54.770000,54.770000,13931
2021-04-23,53.990002,54.759998,53.990002,54.770000,54.770000,21431
2021-04-26,54.580002,55.029999,54.501732,54.820000,54.820000,6972
2021-04-27,54.869999,55.070000,54.549999,54.599998,54.599998,3204
2021-04-28,54.680000,54.917961,54.680000,54.705002,54.705002,11814
2021-04-29,54.799999,54.910000,54.580002,54.634998,54.634998,9422
2021-04-30,54.849998,55.090000,54.660000,54.985001,54.985001,18165
2021-05-04,54.799999,55.009998,54.130001,54.220001,54.220001,9485
2021-05-05,54.650002,54.990002,54.250000,54.570000,54.570000,6964
2021-05-06,54.599998,54.779999,54.433590,54.599998,54.599998,7233
2021-05-07,54.869999,55.090000,54.790001,55.115002,55.115002,5849
2021-05-10,54.730000,54.770000,54.299999,54.400002,54.400002,19856
2021-05-11,53.759998,54.000000,53.000000,53.264999,53.264999,18670
2021-05-12,53.330002,53.349998,52.830002,52.939999,52.939999,15502
2021-05-13,52.540001,53.470001,52.310001,53.209999,53.209999,15228
2021-05-14,53.500000,53.680000,53.419998,53.705002,53.705002,10286
2021-05-17,53.750000,53.889999,53.490002,53.439999,53.439999,12469
2021-05-18,53.580002,53.580002,53.230000,53.325001,53.325001,5841
2021-05-19,52.720001,52.720001,52.230000,52.514999,52.514999,8197
2021-05-20,52.869999,53.310001,52.849998,53.360001,53.360001,2793
2021-05-21,53.459999,53.720001,53.290001,53.535000,53.535000,5406
2021-05-24,53.590000,53.990002,53.590000,53.990002,53.990002,2527
2021-05-25,54.009998,54.230000,53.959999,53.959999,53.959999,5009
2021-05-26,54.049999,54.090000,53.900002,54.029999,54.029999,2634
2021-05-27,54.000000,54.250000,53.770000,53.930000,53.930000,1888
2021-05-28,54.049999,54.279999,54.049999,53.919998,53.919998,2765
2021-06-01,53.820000,54.270000,53.820000,54.029999,54.029999,8614
2021-06-02,54.240002,54.240002,53.990002,54.095001,54.095001,5148
2021-06-03,54.070000,54.270000,53.610001,54.185001,54.185001,6776
2021-06-04,54.000000,54.340000,53.970001,54.235001,54.235001,4103
2021-06-07,54.360001,54.680000,54.188900,54.095001,54.095001,6015
2021-06-08,54.430000,54.560001,54.320000,54.189999,54.189999,4957
2021-06-09,54.279999,54.590000,54.255058,54.555000,54.555000,1073
2021-06-10,54.470001,54.669998,54.419998,54.485001,54.485001,8517
2021-06-11,54.459999,54.950001,54.209999,54.630001,54.630001,13068
2021-06-14,54.840000,55.080002,54.599998,54.654999,54.654999,9612
